User,Comment
নুর ইসলাম মিয়া,ভাই আপনার কথাগুলো অনেক ভালো লাগে
This Is Shahan,Yesterday I Visit CZN Burak in Dubai Mall
rafsan imran,"Where is salt bae broh
He is in now nyc"
NAHIAN KHAN,In the beginning of this video I thought he's gonna speak English through the whole video but he did not
Khamkheyali Bangali,দুর্দান্ত লাগলো
Mahathir,Bro try the Gordon Ramsay Restaurants
FOOD SCHOOL,️️️kushtia
MD. ASIF RAHMAN,Bangladeshi food best
ITZ SIFAT,love u  brother
Shahariar Rabby,শেষ টা দারুণ ছিল
Raiyan Sakline,
fit with souvik,
Abdullah Al - Mamun,"Deshi foodie der kase Duniyar kuno khabar tasty lage na bhai , mostly CTG and puran dhakai food best for us ! Bd food is the best !"
Mizan CTG,আমার কাছে অপচয় ছাড়া কিছু না ৫৫ হাজার টাকার একটা মাংসের পিচ
Mahbuba Gazi,ভাই এটির থেইকা আমাগো বাংলাদেশের পান্তা ভাত ই ভালো
akmrafiqul hasan,Love you Rafsan vaia
Gaming With Momin,Hey Rafsan is salt bee's restaurant meat halal or haram?
Otaku,ভাই আসলেই চিটাগং এর মেজবানের মাংসের তুলনা হয় না।
Electric Knowledge 4.8,রাপসান ভাই আপনার ভয়েসটা অনেক সুন্দর
Mohammed morshedul Islam,Bro Where is salt bae we wanna see him
Zawad special,আসসালামু আলাইকুম সবাইকে...! আলহামদুলিল্লাহ...! ️ আপনাদের ভালোবাসাই  ২০০+ পরিবার সফল হয়েছে। ️️আশা করি আপনারাও পাশে থাকবেন।
Md Sohan,সবাই এত গোল্ড খেয়ে পেললে ভবিষ্যতে গোল্ডের সংকট দেখা দিতে পারে।
Xeet D'Empire,খাওয়ার পর কি Gold হাগু হবে??
Tishia Tasnim,️️
Farhan Fahim,Love from jashore bro
ا ال,ভাই বাংলায় বেশি  কথা বলবেন
Tafsir Ahmed,"After spending 55,000 Rafsan be like:
Now I'll go to my room and drop golden layered shit in Dubai"
Ratul Islam,️️
Hridoy cb Yash,Wow
Nazmulhossain Sohag,"তোমার ভিডিও দেখি, ভালো লাগে,, একটা কথা বলি,,,খাওয়াটা মুখে দেয়ার আগে বিসমিল্লাহ বলে নিও, এতে তোমার খাওয়াটা ভালো হলো, দেখতে আরও ভালো লাগবে"
Ak?Gamer,what'a experience
Syed Shaiqullah,seriously atto daam.. dubai te to shunsi fancy restaurant manei gola kata
Md Iftakhar,I worked with him.. he supper cool person.. btw your steak wasn’t japanes waigu.. and you didn’t try there supper delicious only one dessert Bakhlava.. u missed it bro
Touhidul Islam,You are the best.
MrSUS,U Have A Nice Mustache -Rafsan 2023
Mustafizur Maruf,"হাত দিয়ে খাইসরে ভাই, তাতে আরো স্বাদ পাইবে।"
Yeasin Ali,
Tariqual Islam,গরিবের ছোট ভাই রাফসান
Sijan Shikder,"Vaiya big fan, bro!!!"
Yaman_Malik,চিটাগাং মেজবানকে আপনি ওয়ার্ড ওয়আইড করে দিয়েছেন ধন্যবাদ ভাইয়া
Sehraan’s Canada Days,দারুন লাগলো।
Ishrat Rita,Czn burak is best
Shakib Hossain,লা ইলাহা ইল্লাল্লাহু মুহাম্মাদূর রাসুলুল্লাহ (সঃ)
Raimun Bin suleman,"I Live in Qatar . I just Hate this kind of Overpriced show off restaurants 
Main thing is 60 Hajar Takay Akta Goru JobaY kore Full Family kichu closed  Relatives Ra mile Khub Moja kore Khawa jabe + Kichu gostO Stock O kora jabe"
Shahid  Aktaer,Mass allah
song lyrics,Bro Plesse tour London or New york.
Oreki Houtorou,please go to Gordon Ramsay's restaurant
Kazi Tareq,"bd food best bro.
but amra present korte pari na ei jonno pechiye achi.
R love bro Dubai koto din achen?"
Rony Shorkar (Shuvo),Love you ️
vlog Jishu007🇧🇩,দুইদিনের রাফসান বুরাক আর সল্ট বে'কে জাজ করে সো ফানি ফানি ️
Muntaha Shafa,"i would like to eat food  with you at my home ,, my mom cook well ,,,, i am from sylhet"
iSmAiL KhAN,Superb
Ehsan Ahmed,Thanks choto vai
Md Roton,U are best bro.for eating YouTuber
Afshana Mimi,Hat diya kheye mon ta khusi kore dilen .finally subscribe + like o diya dilam .AllAh apnar sohay hok .Amin
Md sorif,Nice video
Maria Muntahin,Haram Rooh Afza
VIRAL WORLD VIDEO,"love you vai,Vai amai akto shajo korben"
Ryan Rakib,"Chittainga mejban is better than that lamb of czn... 
Bro as a chittagonian you can't be more proud than that"
Fahim Montassir,season burak
I AM AKIL,Yes bro Chattogram is best for mezban
Prince Ruhul,Rafsan looks like Joji.
elderoid,you're starting a beef!
MD-Ibrahim Boss,Love you breooo
Wild jp,সোনা দিয়ে তৈরি বিফ চাইছিলেন না। সকালবেলা পায়খানা করতে গিয়ে কিছুতো পাইছেন নিশ্চয়।
Kayum Habib,Upload more and more video pls
Noor Trading,Czn burak best as a person also not a cringe like the
Knowledge Nation,Love ️
iSmAiL KhAN,superb
Mohammad Abdullah,"Assalamu Alaikum bro, my point is that when you blog outside Bangladesh you speak in English, no problem, but when you blog in Bangladesh, you still speak in English, everyone doesn't understand English anymore. Bangladesh blogs would be better for everyone if they were in Bengali."
Muhammad Labib Hasan,"Bruh,you are also at Dubai? I think you are also included with Arav khaan️"
꧁𝒔𝒆𝒐𝒌𝒔𝒂𝒎𝒊𝒂꧂,বাদাম ভাত
Triggered⚡,Proud of you bro
Yamin Mania555,
Zobayer Alam 2.0,Wow
Tanvir Rahman Emon,️
Jizzy B,️
MAR RIDER'S 1990,️
Saklain360,️
Tarek vlogs,
Ahemad Bro,
Ziyad Abir,Best blogger in Bangladesh
mezbah jan,Vai 55k takay ami pura goru kine grill korte partam
Md Nazmul Hossain,
S Hasebul.,️️
𝐦𝐮𝐣𝐣𝐚𝐦𝐦𝐢𝐥,hey Rafsan ️
Mehedi Hasan Shoyon,Damn bro
Shakhawat Hossain,ভাই এটা খাওয়ার পর যখন তুমি পায়খানা করতে গেছ তখন কি তোমার পায়খানা দিয়ে গোল্ডের পায়খানা বের হয়েছিল?
Amanul Haque,
jwel islam,Big fan man
Md.Ariful Islam,
Star_Point,
Hyper969,"reason why dubai is expensive, is because everyone their is rich and have delicate tastebuds and don't use as much as spices so yeh"
G.M.Sarowar Rahman,️
Arman Shikder,Love you bro
Muhibbul Hoque,Rafsan vhaiar gola kati dise reeee.
Abdullah Hossain,ভাই ৫৫হাজার টাকায় একটা পোরু গরু পাবো ভাই
shanto SSS,"2:58 
Overacting ki liye 25 rupia kat"
Ms Diba,"এতো টাকা কোথায় পান ভাই 
ঐখানের খাবার expensive কিন্তু আমার মনে হয় বাংলার খাবারের টেস্ট ভালো
দুবাই গিয়েছেন খাবার খেয়েছেন বা রিভিউ দিয়েছেন আপনার একটা মেমোরি হলো।তবে নেক্সট টাইম থেকে খাবারের উপরে এত টাকা ব্যায় না করে দেশের গবিব দের কিছু চাল ডাল কিনে দিয়েন। সবকিছুর অনেক দাম গরীবের ভাত খেতে কষ্ট হয় ,সেইখানে ধনীদের বিলাসিতা"
Nusrat Fattah,Haram ruh afza? সত্যিই হাসাইলা
Nahian Ashraf,"এক মুহুর্তের জন্য মনে হচ্ছিলো আমি কোন ব্রিটিশ চ্যানাল দেখছি।
তারপর দেখলাম এটা রাফসান..
সে বাঙালি.... 
এবং যারা কমেন্ট করেছেন তারা-ও বাঙালি.."
Mishan F&B,
Tahmid Mujtaba,Haram ruh afzaaah
Shawn,Haram ruhafza
Sourav Poddar,"Videor title ta howa uchit chilo salt bae vs czn burak, kar kache halal hote chan"
tanvir_alone,Rafsan is my favorite YouTuber
Jein.,Why did I think they went against each other in person with you
Fabiha Ashrafi Esha,3:00
Dip Series,
Mamo N,Love From Bramonbaria
Masud Rana,Please visit Gordon Ramsey's restaurant.
MARZANAHOSSAIN LISA,Halo vhaia ami tomar khub boro akjon fan....! Ami Shob Shomoi tomar video gula Dekhi khub Valo Lage please reply me...I am for u
Farhana B,"ধুরু, যারা সার্ভ করতেছে তারা আমাদের ইউটিউবার গুলার চেয়ে হ্যান্ডসাম।
They are pretty much better looking than some of our youtubers"
Helal Uddin,Chittagong  Mezban
Sadik Rahman Sajid,
Spydo Uchiha,"W Bro
Keep going"
Tareq,CZN BURAK
Hasib Alam Nayeem,"Now you have got 1+M subscribers... And shooting abroad so the level of video must be top notch quality why so shaky? 
Actually we do not expect shaky video bro... 
Why can't you make professional-like video..
I want answer."
sheikh sumon,Joss rafsan
Tanjim Mostakin,"যে দেশের মানুষ তিন বেলা ভালো মতে ভাত খেতে পায় না রাফসান ভাই আইছে ফোটানি মারতে..... এসব ভিডিও দেখে আমরা এখান থেকে কি শিক্ষা নিবো.... কি হবে? দেশ, সমাজ, মানুষ জন্য কিছু করেন আপনাকে দেখে মানুষ অনুপ্রেরণা পাবে....."
md sany,turkeys food are not Spice but very delicious.
Md Mahbub,awesome
Shaown's luxury,"Brother which place is this ?   
Where  are you now?"
Ishtiaque Isclown,god bless you
Orlando Blooms,ইউনিভার্সিটিতে আলু সিদ্ধ দিয়ে ভাত খেতে খেতে দেখতেসি
Raafi Khan,Josshh bhai
Rohan (king) 03,️️
jabed Tuli,Vai Sharjah asen Arabic restaurant video hbe
Akash J.R,
